,Location,Times,Tweets
589,Oregon,2018-03-01 03:00:00,0
590,Oregon,2018-03-01 03:15:00,1
591,Oregon,2018-03-01 03:30:00,3
592,Oregon,2018-03-01 03:45:00,0
593,Oregon,2018-03-01 04:00:00,1
594,Oregon,2018-03-01 04:15:00,1
595,Oregon,2018-03-01 04:30:00,0
596,Oregon,2018-03-01 04:45:00,1
597,Oregon,2018-03-01 05:00:00,1
598,Oregon,2018-03-01 05:15:00,0
599,Oregon,2018-03-01 05:30:00,1
600,Oregon,2018-03-01 05:45:00,1
601,Oregon,2018-03-01 06:00:00,0
602,Oregon,2018-03-01 06:15:00,0
603,Oregon,2018-03-01 06:30:00,0
604,Oregon,2018-03-01 06:45:00,0
605,Oregon,2018-03-01 07:00:00,2
606,Oregon,2018-03-01 07:15:00,0
607,Oregon,2018-03-01 07:30:00,1
608,Oregon,2018-03-01 07:45:00,3
609,Oregon,2018-03-01 08:00:00,1
610,Oregon,2018-03-01 08:15:00,10
611,Oregon,2018-03-01 08:30:00,0
612,Oregon,2018-03-01 08:45:00,1
613,Oregon,2018-03-01 09:00:00,3
614,Oregon,2018-03-01 09:15:00,7
615,Oregon,2018-03-01 09:30:00,8
616,Oregon,2018-03-01 09:45:00,1
617,Oregon,2018-03-01 10:00:00,4
618,Oregon,2018-03-01 10:15:00,4
619,Oregon,2018-03-01 10:30:00,7
620,Oregon,2018-03-01 10:45:00,2
621,Oregon,2018-03-01 11:00:00,6
622,Oregon,2018-03-01 11:15:00,3
623,Oregon,2018-03-01 11:30:00,4
624,Oregon,2018-03-01 11:45:00,3
625,Oregon,2018-03-01 12:00:00,1
626,Oregon,2018-03-01 12:15:00,1
627,Oregon,2018-03-01 12:30:00,5
628,Oregon,2018-03-01 12:45:00,2
629,Oregon,2018-03-01 13:00:00,4
630,Oregon,2018-03-01 13:15:00,7
631,Oregon,2018-03-01 13:30:00,8
632,Oregon,2018-03-01 13:45:00,5
633,Oregon,2018-03-01 14:00:00,0
634,Oregon,2018-03-01 14:15:00,2
635,Oregon,2018-03-01 14:30:00,8
636,Oregon,2018-03-01 14:45:00,6
637,Oregon,2018-03-01 15:00:00,5
638,Oregon,2018-03-01 15:15:00,4
639,Oregon,2018-03-01 15:30:00,5
640,Oregon,2018-03-01 15:45:00,15
641,Oregon,2018-03-01 16:00:00,2
642,Oregon,2018-03-01 16:15:00,4
643,Oregon,2018-03-01 16:30:00,1
644,Oregon,2018-03-01 16:45:00,6
645,Oregon,2018-03-01 17:00:00,14
646,Oregon,2018-03-01 17:15:00,8
647,Oregon,2018-03-01 17:30:00,11
648,Oregon,2018-03-01 17:45:00,9
